p_hex8,d_hex8,ride_count
883cf13b27fffff,883cf13969fffff,44
883cf10583fffff,883cf13b03fffff,44
883cf10ce1fffff,883cf10c93fffff,43
883cf13b15fffff,883cf10c93fffff,43
883cf10cc5fffff,883cf10cbdfffff,43
883cf13945fffff,883cf10cbdfffff,43
883cf13963fffff,883cf10c93fffff,43
883cf13965fffff,883cf1394dfffff,43
883cf13b03fffff,883cf10ca1fffff,43
883cf13b39fffff,883cf1394dfffff,43
883cf10ce3fffff,883cf10cbdfffff,42
883cf13945fffff,883cf10ca3fffff,42
883cf10c93fffff,883cf1396bfffff,42
883cf10ce1fffff,883cf10cbdfffff,42
883cf13b25fffff,883cf10ca9fffff,42
883cf17659fffff,883cf13b25fffff,42
883cf13b55fffff,883cf13b21fffff,41
883cf13949fffff,883cf13b25fffff,41
883cf17651fffff,883cf10cb5fffff,41
883cf13b25fffff,883cf13965fffff,41
883cf10c93fffff,883cf17655fffff,41
883cf13b25fffff,883cf1396bfffff,41
883cf13b25fffff,883cf10cabfffff,41
883cf13b25fffff,883cf17659fffff,41
883cf17649fffff,883cf13b25fffff,41
883cf10ca1fffff,883cf17655fffff,40
883cf17659fffff,883cf13945fffff,40
883cf10c93fffff,883cf17659fffff,40
883cf13b25fffff,883cf10e95fffff,40
883cf13b25fffff,883cf10cbdfffff,40
883cf13b25fffff,883cf13969fffff,40
883cf10ce1fffff,883cf10c99fffff,40
883cf10ce1fffff,883cf10c97fffff,40
883cf13b03fffff,883cf105b1fffff,40
883cf13963fffff,883cf13b27fffff,40
883cf10cbdfffff,883cf10ce1fffff,40
883cf13b39fffff,883cf10c97fffff,39
883cf105b9fffff,883cf13b25fffff,39
883cf10ca3fffff,883cf1394dfffff,39
883cf13b03fffff,883cf10c9bfffff,39
883cf13b25fffff,883cf10c97fffff,39
883cf10ca3fffff,883cf17655fffff,39
883cf13945fffff,883cf13b27fffff,39
883cf10ca5fffff,883cf13945fffff,39
883cf10cbdfffff,883cf13b21fffff,39
883cf17655fffff,883cf13b25fffff,39
883cf10ce9fffff,883cf10c97fffff,39
883cf105b7fffff,883cf13b15fffff,38
883cf10cebfffff,883cf10cbdfffff,38
883cf13b07fffff,883cf13b25fffff,38
883cf10c93fffff,883cf10ca3fffff,38
883cf13b21fffff,883cf10cbdfffff,38
883cf17645fffff,883cf13945fffff,38
883cf13b25fffff,883cf10ca3fffff,38
883cf10ce1fffff,883cf13b25fffff,38
883cf10ca3fffff,883cf10c97fffff,38
883cf10cd1fffff,883cf13b03fffff,38
883cf10c87fffff,883cf13b25fffff,38
883cf13963fffff,883cf10c97fffff,38
883cf13963fffff,883cf1394dfffff,38
883cf10ce3fffff,883cf13945fffff,38
883cf105b7fffff,883cf10581fffff,38
883cf10cbdfffff,883cf1394dfffff,38
883cf10cebfffff,883cf10c97fffff,38
883cf10ce7fffff,883cf13945fffff,38
883cf13b39fffff,883cf105b7fffff,37
883cf10ca3fffff,883cf17659fffff,37
883cf1394dfffff,883cf17659fffff,37
883cf13b03fffff,883cf10581fffff,37
883cf13b15fffff,883cf105b7fffff,37
883cf13b55fffff,883cf13b27fffff,37
883cf13b55fffff,883cf13b03fffff,37
883cf10cb5fffff,883cf13b25fffff,37
883cf1765dfffff,883cf1394dfffff,37
883cf13b03fffff,883cf10ce1fffff,37
883cf105b7fffff,883cf13949fffff,36
883cf10cd1fffff,883cf13945fffff,36
883cf17655fffff,883cf10cbdfffff,36
883cf10cabfffff,883cf13b25fffff,36
883cf13b15fffff,883cf10c97fffff,36
883cf10cd9fffff,883cf13b03fffff,36
883cf17655fffff,883cf1394dfffff,36
883cf13969fffff,883cf13b25fffff,36
883cf13905fffff,883cf13b03fffff,36
883cf10cb5fffff,883cf13b21fffff,36
883cf13945fffff,883cf10ca7fffff,36
883cf13b21fffff,883cf13969fffff,36
883cf10ca9fffff,883cf13b21fffff,36
883cf13b03fffff,883cf10cabfffff,36
883cf10c93fffff,883cf17657fffff,36
883cf1396bfffff,883cf10cb5fffff,36
883cf13b03fffff,883cf13905fffff,36
883cf13b03fffff,883cf13949fffff,36
883cf10ce1fffff,883cf1394dfffff,35
883cf1394dfffff,883cf13b55fffff,35
883cf17655fffff,883cf10cb5fffff,35
883cf13b25fffff,883cf13b07fffff,35
883cf13b27fffff,883cf13b03fffff,35
883cf13905fffff,883cf10cbdfffff,35
883cf13b03fffff,883cf10ca9fffff,35
883cf13945fffff,883cf10c99fffff,35
883cf13b21fffff,883cf10c93fffff,35
883cf13969fffff,883cf13b21fffff,35
883cf1396bfffff,883cf13b27fffff,35
883cf13b15fffff,883cf105b9fffff,35
883cf10c93fffff,883cf13b27fffff,35
883cf10ca1fffff,883cf13b25fffff,35
883cf1396bfffff,883cf17649fffff,35
883cf10ca9fffff,883cf1394dfffff,35
883cf10c93fffff,883cf13b23fffff,34
883cf10c93fffff,883cf10cb7fffff,34
883cf13905fffff,883cf13b21fffff,34
883cf13b21fffff,883cf13965fffff,34
883cf13945fffff,883cf17655fffff,34
883cf13b03fffff,883cf13b55fffff,34
883cf17659fffff,883cf13b21fffff,34
883cf13905fffff,883cf10c91fffff,34
883cf13b25fffff,883cf10c93fffff,34
883cf13b27fffff,883cf10c93fffff,34
883cf17655fffff,883cf13945fffff,34
883cf13b25fffff,883cf13b39fffff,34
883cf1394dfffff,883cf13b03fffff,34
883cf13963fffff,883cf13b25fffff,34
883cf10c93fffff,883cf13b07fffff,34
883cf13b21fffff,883cf10ce1fffff,34
883cf13905fffff,883cf17657fffff,34
883cf13b1dfffff,883cf13b27fffff,34
883cf17647fffff,883cf13945fffff,34
883cf1394dfffff,883cf10cabfffff,34
883cf10c9dfffff,883cf13b03fffff,34
883cf10ca3fffff,883cf10c93fffff,34
883cf17657fffff,883cf1394dfffff,34
883cf13b07fffff,883cf13965fffff,34
883cf1394dfffff,883cf13b15fffff,33
883cf13961fffff,883cf10c97fffff,33
883cf10cabfffff,883cf10c97fffff,33
883cf10c99fffff,883cf13945fffff,33
883cf17621fffff,883cf17601fffff,33
883cf17651fffff,883cf1394dfffff,33
883cf13b21fffff,883cf13945fffff,33
883cf10c93fffff,883cf10cbdfffff,33
883cf13b03fffff,883cf17651fffff,33
883cf13945fffff,883cf10cabfffff,33
883cf1394dfffff,883cf1396bfffff,33
883cf1394dfffff,883cf13965fffff,33
883cf13949fffff,883cf17657fffff,33
883cf17649fffff,883cf17655fffff,33
883cf10c93fffff,883cf10ca7fffff,33
883cf13b07fffff,883cf13b27fffff,33
883cf1392dfffff,883cf13b25fffff,33
883cf13941fffff,883cf13b21fffff,33
883cf10ca7fffff,883cf13945fffff,33
883cf13b03fffff,883cf105b7fffff,33
883cf13945fffff,883cf17649fffff,33
883cf13b03fffff,883cf10cbdfffff,33
883cf13945fffff,883cf13b07fffff,33
883cf17655fffff,883cf13b27fffff,33
883cf10ce9fffff,883cf10cbdfffff,33
883cf10cb5fffff,883cf17655fffff,32
883cf13b03fffff,883cf1058bfffff,32
883cf10cbdfffff,883cf13945fffff,32
883cf17657fffff,883cf10c93fffff,32
883cf13b03fffff,883cf10e95fffff,32
883cf105b7fffff,883cf17651fffff,32
883cf10cb5fffff,883cf1765dfffff,32
883cf1396bfffff,883cf17655fffff,32
883cf13b25fffff,883cf1394dfffff,32
883cf13b25fffff,883cf13963fffff,32
883cf13b21fffff,883cf13b45fffff,32
883cf10ce1fffff,883cf10cb5fffff,32
883cf13969fffff,883cf10c93fffff,32
883cf10ca3fffff,883cf13b21fffff,32
883cf13965fffff,883cf13b21fffff,32
883cf13b21fffff,883cf13b55fffff,32
883cf13b25fffff,883cf10eb1fffff,32
883cf17659fffff,883cf10ca3fffff,32
883cf10c97fffff,883cf17657fffff,32
883cf17659fffff,883cf10cbdfffff,32
883cf17655fffff,883cf10c97fffff,32
883cf13961fffff,883cf1394dfffff,32
883cf13963fffff,883cf13b03fffff,32
883cf13b25fffff,883cf17657fffff,32
883cf13b21fffff,883cf10cabfffff,32
883cf10e9dfffff,883cf13b25fffff,31
883cf13945fffff,883cf10cb5fffff,31
883cf10cc7fffff,883cf13945fffff,31
883cf17655fffff,883cf13b07fffff,31
883cf10e95fffff,883cf13b21fffff,31
883cf1396bfffff,883cf10c9bfffff,31
883cf10cbdfffff,883cf10cc7fffff,31
883cf13949fffff,883cf17655fffff,31
883cf13b25fffff,883cf10c95fffff,31
883cf10cabfffff,883cf13b27fffff,31
883cf17655fffff,883cf10ce7fffff,31
883cf13b21fffff,883cf1394dfffff,31
883cf13b21fffff,883cf10c97fffff,31
883cf13b07fffff,883cf1396bfffff,31
883cf17649fffff,883cf10cc5fffff,31
883cf10ca9fffff,883cf10c93fffff,31
883cf13965fffff,883cf10c93fffff,31
883cf10c93fffff,883cf13945fffff,31
883cf13963fffff,883cf13b21fffff,31
883cf10c97fffff,883cf17659fffff,31
883cf13b25fffff,883cf17649fffff,31
883cf10ce3fffff,883cf10c97fffff,31
883cf13b15fffff,883cf13b23fffff,30
883cf17649fffff,883cf1394dfffff,30
883cf10ca1fffff,883cf17659fffff,30
883cf1396dfffff,883cf13b27fffff,30
883cf13b55fffff,883cf13b25fffff,30
883cf10c97fffff,883cf13b25fffff,30
883cf17649fffff,883cf17659fffff,30
883cf105b7fffff,883cf13b07fffff,30
883cf13b03fffff,883cf13959fffff,30
883cf17651fffff,883cf10c93fffff,30
883cf10ca3fffff,883cf10cc7fffff,30
883cf1396bfffff,883cf17657fffff,30
883cf13b39fffff,883cf17659fffff,30
883cf10ca9fffff,883cf13b03fffff,30
883cf10c97fffff,883cf10ca3fffff,30
883cf17649fffff,883cf10c93fffff,30
883cf10cbdfffff,883cf10c99fffff,30
883cf13961fffff,883cf13b03fffff,30
883cf13b25fffff,883cf10ce1fffff,30
883cf10eb1fffff,883cf13b25fffff,30
883cf10cabfffff,883cf10cebfffff,30
883cf10ca5fffff,883cf10c97fffff,30
883cf1394dfffff,883cf13b07fffff,30
883cf13961fffff,883cf10c99fffff,30
883cf17659fffff,883cf10cabfffff,30
883cf10ca9fffff,883cf17659fffff,30
883cf13b27fffff,883cf13961fffff,30
883cf13905fffff,883cf10c9bfffff,30
883cf13b25fffff,883cf1765dfffff,29
883cf10cabfffff,883cf1394dfffff,29
883cf10ce3fffff,883cf10c93fffff,29
883cf10ce1fffff,883cf13b27fffff,29
883cf13b25fffff,883cf10cb7fffff,29
883cf17651fffff,883cf13b27fffff,29
883cf17659fffff,883cf13b27fffff,29
883cf10e9dfffff,883cf13b03fffff,29
883cf10cbdfffff,883cf10c93fffff,29
883cf10c9bfffff,883cf13b07fffff,29
883cf13b21fffff,883cf13b39fffff,29
883cf17651fffff,883cf13b07fffff,29
883cf13b25fffff,883cf13949fffff,29
883cf13905fffff,883cf17655fffff,29
883cf17651fffff,883cf13b03fffff,29
883cf13965fffff,883cf13b25fffff,29
883cf10cc5fffff,883cf13945fffff,29
883cf13b1dfffff,883cf1394dfffff,29
883cf10ca3fffff,883cf10c9dfffff,29
883cf13b03fffff,883cf17603fffff,29
883cf17655fffff,883cf10c93fffff,29
883cf10cb1fffff,883cf13945fffff,29
883cf13945fffff,883cf10ca1fffff,29
883cf13b03fffff,883cf13961fffff,29
883cf10cb5fffff,883cf1392dfffff,29
883cf10cbdfffff,883cf13b03fffff,29
883cf10c93fffff,883cf13b39fffff,29
883cf10cbdfffff,883cf10ce3fffff,29
883cf1396bfffff,883cf17659fffff,29
883cf10ca1fffff,883cf13945fffff,29
883cf10ce7fffff,883cf10c97fffff,29
883cf13b21fffff,883cf10cb5fffff,29
883cf10ca1fffff,883cf1394dfffff,29
883cf10c9dfffff,883cf13b25fffff,29
883cf10c9dfffff,883cf13949fffff,29
883cf10c9dfffff,883cf10cb5fffff,29
883cf17649fffff,883cf10c9bfffff,29
883cf10cbdfffff,883cf10cc5fffff,28
883cf13961fffff,883cf10c93fffff,28
883cf10ce9fffff,883cf13945fffff,28
883cf13945fffff,883cf13b03fffff,28
883cf13945fffff,883cf1394dfffff,28
883cf13b03fffff,883cf13b2dfffff,28
883cf13949fffff,883cf10c97fffff,28
883cf10cebfffff,883cf10cb5fffff,28
883cf17657fffff,883cf10ca3fffff,28
883cf10ce9fffff,883cf1394dfffff,28
883cf10ce9fffff,883cf13b25fffff,28
883cf1392dfffff,883cf1394dfffff,28
883cf1396dfffff,883cf10cabfffff,28
883cf13945fffff,883cf10c97fffff,28
883cf13b03fffff,883cf10eb1fffff,28
883cf1396dfffff,883cf13b21fffff,28
883cf10ca1fffff,883cf10cc7fffff,28
883cf10ca7fffff,883cf13b25fffff,28
883cf10ca7fffff,883cf10c93fffff,28
883cf1394dfffff,883cf10eb3fffff,28
883cf10c9dfffff,883cf10ca3fffff,28
883cf13b15fffff,883cf17655fffff,28
883cf13b1dfffff,883cf13945fffff,28
883cf10581fffff,883cf105b7fffff,28
883cf13b07fffff,883cf13b55fffff,28
883cf10cc5fffff,883cf10cabfffff,28
883cf17651fffff,883cf10ca3fffff,28
883cf10ca3fffff,883cf13b03fffff,28
883cf13b25fffff,883cf1392dfffff,28
883cf105b9fffff,883cf13b39fffff,28
883cf10cadfffff,883cf13945fffff,28
883cf10cebfffff,883cf1394dfffff,28
883cf1394dfffff,883cf17655fffff,28
883cf10cabfffff,883cf10c93fffff,28
883cf10eb3fffff,883cf13b03fffff,28
883cf13b39fffff,883cf13945fffff,28
883cf13965fffff,883cf10cbdfffff,28
883cf10ca9fffff,883cf10c97fffff,28
883cf10ca7fffff,883cf17651fffff,28
883cf13b21fffff,883cf13963fffff,28
883cf17655fffff,883cf13965fffff,27
883cf13b03fffff,883cf10595fffff,27
883cf13949fffff,883cf10cb5fffff,27
883cf10cabfffff,883cf17657fffff,27
883cf13b03fffff,883cf13967fffff,27
883cf13b55fffff,883cf105b7fffff,27
883cf10c97fffff,883cf1394dfffff,27
883cf10c97fffff,883cf13b27fffff,27
883cf176e7fffff,883cf17657fffff,27
883cf105b7fffff,883cf13945fffff,27
883cf13b1dfffff,883cf13b25fffff,27
883cf13b25fffff,883cf10ca1fffff,27
883cf10c9bfffff,883cf1396bfffff,27
883cf13b23fffff,883cf17651fffff,27
883cf10cd1fffff,883cf13b21fffff,27
883cf13965fffff,883cf10cb5fffff,27
883cf13929fffff,883cf13b25fffff,27
883cf17659fffff,883cf10c93fffff,27
883cf17655fffff,883cf13b21fffff,27
883cf10c9dfffff,883cf13945fffff,27
883cf13b11fffff,883cf13b21fffff,27
883cf1394dfffff,883cf10c87fffff,27
883cf1394dfffff,883cf10c97fffff,27
883cf13b1dfffff,883cf13b21fffff,27
883cf10cb5fffff,883cf17651fffff,27
883cf1394dfffff,883cf17657fffff,27
883cf13b25fffff,883cf10cb3fffff,27
883cf17659fffff,883cf10ca7fffff,27
883cf13905fffff,883cf1394dfffff,27
883cf17655fffff,883cf10c99fffff,27
883cf1394dfffff,883cf13b21fffff,27
883cf17603fffff,883cf13945fffff,27
883cf10cc5fffff,883cf10c97fffff,27
883cf17619fffff,883cf10ca3fffff,27
883cf13b2dfffff,883cf13b03fffff,27
883cf10cbdfffff,883cf1765dfffff,27
883cf1394dfffff,883cf13905fffff,27
883cf17607fffff,883cf17655fffff,27
883cf1394dfffff,883cf10cb5fffff,27
883cf10cabfffff,883cf13b03fffff,27
883cf13b39fffff,883cf1396bfffff,27
883cf10c97fffff,883cf17649fffff,27
883cf10cabfffff,883cf13945fffff,27
883cf10cb5fffff,883cf17659fffff,26
883cf105b7fffff,883cf1396bfffff,26
883cf10cbdfffff,883cf10c91fffff,26
883cf17657fffff,883cf17633fffff,26
883cf10e91fffff,883cf13b21fffff,26
883cf10e99fffff,883cf13b03fffff,26
883cf10cc3fffff,883cf10c97fffff,26
883cf1765bfffff,883cf13b03fffff,26
883cf10c97fffff,883cf10ca7fffff,26
883cf10c87fffff,883cf13945fffff,26
883cf10c97fffff,883cf10cb5fffff,26
883cf13941fffff,883cf13b25fffff,26
883cf10cb5fffff,883cf13965fffff,26
883cf10c93fffff,883cf13b03fffff,26
883cf13b07fffff,883cf13945fffff,26
883cf13b15fffff,883cf13945fffff,26
883cf10cebfffff,883cf13b25fffff,26
883cf13905fffff,883cf13b07fffff,26
883cf10ca9fffff,883cf13b25fffff,26
883cf17645fffff,883cf13b03fffff,26
883cf10eb3fffff,883cf13b21fffff,26
883cf10eb7fffff,883cf10c97fffff,26
883cf17655fffff,883cf1396bfffff,26
883cf13929fffff,883cf10c97fffff,26
883cf17619fffff,883cf10cbdfffff,26
883cf13b39fffff,883cf105b9fffff,26
883cf1396bfffff,883cf13b23fffff,26
883cf17655fffff,883cf10ca3fffff,26
883cf13b27fffff,883cf17659fffff,26
883cf13b27fffff,883cf1765dfffff,26
883cf13967fffff,883cf13b03fffff,26
883cf105b7fffff,883cf10ea3fffff,26
883cf17651fffff,883cf10ca7fffff,26
883cf10c9bfffff,883cf13b21fffff,26
883cf10cebfffff,883cf10cabfffff,26
883cf105b7fffff,883cf1058bfffff,26
883cf10c93fffff,883cf17651fffff,26
883cf10cb5fffff,883cf13b27fffff,26
883cf13b27fffff,883cf1396bfffff,26
883cf13b27fffff,883cf13945fffff,26
883cf13945fffff,883cf17659fffff,26
883cf1394dfffff,883cf17649fffff,26
883cf13b39fffff,883cf13b2dfffff,26
883cf13b27fffff,883cf10cbdfffff,26
883cf13b03fffff,883cf10ce3fffff,26
883cf17651fffff,883cf13b25fffff,26
883cf13b03fffff,883cf17657fffff,26
883cf13b03fffff,883cf13965fffff,26
883cf10c91fffff,883cf17657fffff,26
883cf13b25fffff,883cf17651fffff,26
883cf13b25fffff,883cf1760bfffff,26
883cf17649fffff,883cf10c99fffff,26
883cf13b27fffff,883cf13905fffff,26
883cf10cb5fffff,883cf10cebfffff,26
883cf1396bfffff,883cf10cbdfffff,26
883cf17651fffff,883cf13945fffff,26
883cf10cb3fffff,883cf10c93fffff,26
883cf17649fffff,883cf10c97fffff,26
883cf13b25fffff,883cf10ce3fffff,25
883cf13b25fffff,883cf13905fffff,25
883cf13b15fffff,883cf13949fffff,25
883cf10ca9fffff,883cf13b27fffff,25
883cf10c87fffff,883cf1394dfffff,25
883cf10cc7fffff,883cf10cbdfffff,25
883cf17659fffff,883cf10cb5fffff,25
883cf13b21fffff,883cf10c9dfffff,25
883cf13b25fffff,883cf10cd9fffff,25
883cf13905fffff,883cf13b27fffff,25
883cf13b03fffff,883cf17647fffff,25
883cf13b25fffff,883cf13941fffff,25
883cf1394dfffff,883cf10cc7fffff,25
883cf10ca3fffff,883cf17657fffff,25
883cf17651fffff,883cf10ca9fffff,25
883cf10c95fffff,883cf13945fffff,25
883cf13b21fffff,883cf13b07fffff,25
883cf17659fffff,883cf1764bfffff,25
883cf105b1fffff,883cf13b03fffff,25
883cf105b7fffff,883cf13b25fffff,25
883cf13b21fffff,883cf10eb1fffff,25
883cf1765bfffff,883cf10cbdfffff,25
883cf13967fffff,883cf10cbdfffff,25
883cf10cb5fffff,883cf17615fffff,25
883cf13965fffff,883cf10cabfffff,25
883cf10c99fffff,883cf10cbdfffff,25
883cf10c9bfffff,883cf17655fffff,25
883cf10ca1fffff,883cf13b03fffff,25
883cf10cbdfffff,883cf1396bfffff,25
883cf10cb5fffff,883cf17657fffff,25
883cf13b03fffff,883cf10c97fffff,25
883cf10581fffff,883cf13b25fffff,25
883cf13b03fffff,883cf10e9dfffff,25
883cf13969fffff,883cf1394dfffff,25
883cf10c99fffff,883cf17655fffff,25
883cf13b27fffff,883cf13965fffff,25
883cf13b03fffff,883cf13b0bfffff,25
883cf17649fffff,883cf13b03fffff,25
883cf1394dfffff,883cf10c9dfffff,25
883cf13945fffff,883cf10ca5fffff,25
883cf17655fffff,883cf13949fffff,25
883cf10cbdfffff,883cf17655fffff,25
883cf17649fffff,883cf13b21fffff,25
883cf13945fffff,883cf1760bfffff,25
883cf17651fffff,883cf10cbdfffff,24
883cf13b21fffff,883cf13b11fffff,24
883cf13b27fffff,883cf10ca9fffff,24
883cf10587fffff,883cf105b7fffff,24
883cf1394dfffff,883cf10ca7fffff,24
883cf105b7fffff,883cf13905fffff,24
883cf1059dfffff,883cf13b03fffff,24
883cf10ce7fffff,883cf10c93fffff,24
883cf13963fffff,883cf10cbdfffff,24
883cf17651fffff,883cf10cabfffff,24
883cf1396bfffff,883cf10cabfffff,24
883cf13969fffff,883cf10cb5fffff,24
883cf1396dfffff,883cf13b25fffff,24
883cf1764bfffff,883cf17659fffff,24
883cf10cb3fffff,883cf13b27fffff,24
883cf13963fffff,883cf10c91fffff,24
883cf13b27fffff,883cf10ce1fffff,24
883cf13949fffff,883cf17659fffff,24
883cf10eb3fffff,883cf13b25fffff,24
883cf13b25fffff,883cf10ca7fffff,24
883cf17645fffff,883cf10ca1fffff,24
883cf13b17fffff,883cf1394dfffff,24
883cf13b21fffff,883cf10ca1fffff,24
883cf1765dfffff,883cf10ca1fffff,24
883cf10cc3fffff,883cf13b25fffff,24
883cf10cb5fffff,883cf10ca9fffff,24
883cf13b15fffff,883cf13b0bfffff,24
883cf17657fffff,883cf13945fffff,24
883cf13b03fffff,883cf17655fffff,24
883cf10cddfffff,883cf1394dfffff,24
883cf10ca1fffff,883cf10c93fffff,24
883cf13b07fffff,883cf1394dfffff,24
883cf17657fffff,883cf10c97fffff,24
883cf13945fffff,883cf10cb7fffff,24
883cf10cebfffff,883cf10c99fffff,24
883cf13b21fffff,883cf1760bfffff,24
883cf10cabfffff,883cf10cc5fffff,24
883cf105b7fffff,883cf10ce1fffff,24
883cf13b55fffff,883cf1394dfffff,24
883cf1390dfffff,883cf13b25fffff,24
883cf10cbdfffff,883cf13b07fffff,24
883cf13945fffff,883cf10ca9fffff,24
883cf13b03fffff,883cf10cb5fffff,24
883cf1394dfffff,883cf10ca1fffff,24
883cf1394dfffff,883cf10cb7fffff,24
883cf13b27fffff,883cf13b15fffff,24
883cf13963fffff,883cf10c9dfffff,24
883cf10c97fffff,883cf17641fffff,24
883cf10cb5fffff,883cf10c91fffff,24
883cf10e95fffff,883cf13b25fffff,23
883cf17657fffff,883cf10cabfffff,23
883cf10cbdfffff,883cf13961fffff,23
883cf10c93fffff,883cf13961fffff,23
883cf10c9dfffff,883cf17655fffff,23
883cf10cb5fffff,883cf10c97fffff,23
883cf10ce1fffff,883cf10c89fffff,23
883cf1058bfffff,883cf105b7fffff,23
883cf13b15fffff,883cf13959fffff,23
883cf13b25fffff,883cf13b1dfffff,23
883cf13b25fffff,883cf13b01fffff,23
883cf105b7fffff,883cf10cc5fffff,23
883cf105b7fffff,883cf10ca5fffff,23
883cf13b25fffff,883cf10e99fffff,23
883cf17659fffff,883cf10c97fffff,23
883cf10ce1fffff,883cf10c91fffff,23
883cf17657fffff,883cf13b25fffff,23
883cf17639fffff,883cf10c93fffff,23
883cf13b25fffff,883cf10cebfffff,23
883cf10c9dfffff,883cf10cbdfffff,23
883cf10ebdfffff,883cf13b25fffff,23
883cf10eb1fffff,883cf13b03fffff,23
883cf13b21fffff,883cf10ca3fffff,23
883cf10e91fffff,883cf13b25fffff,23
883cf10cebfffff,883cf10c93fffff,23
883cf1765dfffff,883cf10ca3fffff,23
883cf1765dfffff,883cf10c99fffff,23
883cf1765bfffff,883cf13945fffff,23
883cf105b7fffff,883cf1394dfffff,23
883cf10ce7fffff,883cf10cbdfffff,23
883cf10c9dfffff,883cf10ca9fffff,23
883cf10ca7fffff,883cf17657fffff,23
883cf13949fffff,883cf13b21fffff,23
883cf17651fffff,883cf13b23fffff,23
883cf10c93fffff,883cf17649fffff,23
883cf13963fffff,883cf17655fffff,23
883cf13961fffff,883cf1760bfffff,23
883cf10cb5fffff,883cf13b23fffff,23
883cf10cc7fffff,883cf13b25fffff,23
883cf13b39fffff,883cf10c9bfffff,23
883cf17651fffff,883cf17649fffff,23
883cf105b7fffff,883cf105b7fffff,23
883cf13949fffff,883cf10c91fffff,23
883cf1394dfffff,883cf10c93fffff,23
883cf10cbdfffff,883cf10cedfffff,23
883cf10cb7fffff,883cf13945fffff,23
883cf13965fffff,883cf13b03fffff,23
883cf13b27fffff,883cf17655fffff,23
883cf10ca3fffff,883cf10c99fffff,23
883cf13965fffff,883cf17649fffff,23
883cf13965fffff,883cf17655fffff,23
883cf13965fffff,883cf13b07fffff,23
883cf13969fffff,883cf10ca7fffff,23
883cf10ca3fffff,883cf13965fffff,23
883cf10ca3fffff,883cf13b25fffff,23
883cf1765dfffff,883cf17649fffff,23
883cf10ca3fffff,883cf17609fffff,23
883cf17659fffff,883cf10ca9fffff,23
883cf10c93fffff,883cf1765dfffff,23
883cf13b21fffff,883cf10e9dfffff,23
883cf13b21fffff,883cf13b0bfffff,23
883cf13b25fffff,883cf10c9dfffff,23
883cf13b21fffff,883cf10c91fffff,23
